Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	38543833.00	001380726037011XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	38543833.00	001380726037011XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	32826900.40	323860225085059XXX055XXX221	REGULAR	REGULAR	START	START	1	32826900.40	323860225085059XXX055XXX221	REGULAR	REGULAR	START	START	1
1	FALSE	34004826.00	410120975061083073XXXXXX101	REGULAR	REGULAR	START	START	1	34004826.00	410120975061083073XXXXXX101	REGULAR	REGULAR	START	START	1
1	FALSE	32659501.40	232630474010035XXXXXX173330	REGULAR	REGULAR	START	START	1	32659501.40	232630474010035XXXXXX173330	REGULAR	REGULAR	START	START	1
1	FALSE	33790037.80	020750600049047XXXXXXXXX161	REGULAR	REGULAR	START	START	1	33790037.80	020750600049047XXXXXXXXX161	REGULAR	REGULAR	START	START	1
1	FALSE	63406659.60	203270099097095XXXXXX267XXX	REGULAR	REGULAR	START	START	1	63406659.60	203270099097095XXXXXX267XXX	REGULAR	REGULAR	START	START	1
1	FALSE	32860212.20	432000849073071010XXXXXX500	REGULAR	REGULAR	START	START	1	32860212.20	432000849073071010XXXXXX500	REGULAR	REGULAR	START	START	1
1	FALSE	32903553.80	114500351025023XXXXXXXXX271	REGULAR	REGULAR	START	START	1	32903553.80	114500351025023XXXXXXXXX271	REGULAR	REGULAR	START	START	1
1	FALSE	33626871.60	311680413043065XXX086XXX481	REGULAR	REGULAR	START	START	1	33626871.60	311680413043065XXX086XXX481	REGULAR	REGULAR	START	START	1
1	FALSE	32777486.80	034200911090017XXXXXXXXX250	REGULAR	REGULAR	START	START	1	32777486.80	034200911090017XXXXXXXXX250	REGULAR	REGULAR	START	START	1
1	FALSE	33383965.40	422940663016089042XXXXXX361	REGULAR	REGULAR	START	START	1	33383965.40	422940663016089042XXXXXX361	REGULAR	REGULAR	START	START	1
1	FALSE	47752188.40	100440162067041XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	47752188.40	100440162067041XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33100720.60	231080288031077XXXXXX033070	REGULAR	REGULAR	START	START	1	33100720.60	231080288031077XXXXXX033070	REGULAR	REGULAR	START	START	1
1	FALSE	33389689.00	013570789079029XXXXXXXXX301	REGULAR	REGULAR	START	START	1	33389689.00	013570789079029XXXXXXXXX301	REGULAR	REGULAR	START	START	1
1	FALSE	38274718.80	304830537004053XXX024XXXXXX	REGULAR	REGULAR	START	START	1	38274718.80	304830537004053XXX024XXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33208295.80	122310039055005XXXXXXXXX421	REGULAR	REGULAR	START	START	1	33208295.80	122310039055005XXXXXXXXX421	REGULAR	REGULAR	START	START	1
1	FALSE	32571258.33	434640006040014088XXXXXX291	ELITE	ELITE	START	START	1	32571258.33	434640006040014088XXXXXX291	ELITE	ELITE	START	START	1
1	FALSE	32867366.40	212160506088062XXXXXX056060	REGULAR	REGULAR	START	START	1	32867366.40	212160506088062XXXXXX056060	REGULAR	REGULAR	START	START	1
1	FALSE	33021859.00	123420258064086XXXXXXXXX170	REGULAR	REGULAR	START	START	1	33021859.00	123420258064086XXXXXXXXX170	REGULAR	REGULAR	START	START	1
1	FALSE	38063812.20	300890756013038XXX002XXXXXX	REGULAR	REGULAR	START	START	1	38063812.20	300890756013038XXX002XXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	39112572.20	004050381052074XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	39112572.20	004050381052074XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33226329.80	221530882001026XXXXXX338120	REGULAR	REGULAR	START	START	1	33226329.80	221530882001026XXXXXX338120	REGULAR	REGULAR	START	START	1
1	FALSE	33205395.80	130300633076098XXXXXXXXX461	REGULAR	REGULAR	START	START	1	33205395.80	130300633076098XXXXXXXXX461	REGULAR	REGULAR	START	START	1
1	FALSE	32796271.00	412790131028050026XXXXXX230	REGULAR	REGULAR	START	START	1	32796271.00	412790131028050026XXXXXX230	REGULAR	REGULAR	START	START	1
1	FALSE	32807248.40	224970819034068XXXXXX197380	REGULAR	REGULAR	START	START	1	32807248.40	224970819034068XXXXXX197380	REGULAR	REGULAR	START	START	1
1	FALSE	43337088.20	402460318082020020XXXXXXXXX	REGULAR	REGULAR	START	START	1	43337088.20	402460318082020020XXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	32640669.00	333720570057044XXX033XXX261	ELITE	ELITE	START	START	1	32640669.00	333720570057044XXX033XXX261	ELITE	ELITE	START	START	1
1	FALSE	34210773.40	011230069006092XXXXXXXXX490	REGULAR	REGULAR	START	START	1	34210773.40	011230069006092XXXXXXXXX490	REGULAR	REGULAR	START	START	1
1	FALSE	32874463.80	031860195019056XXXXXXXXX091	REGULAR	REGULAR	START	START	1	32874463.80	031860195019056XXXXXXXXX091	REGULAR	REGULAR	START	START	1
1	FALSE	33960536.80	214340693070008XXXXXX103320	REGULAR	REGULAR	START	START	1	33960536.80	214340693070008XXXXXX103320	REGULAR	REGULAR	START	START	1
1	FALSE	37672793.80	103090944046080XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	37672793.80	103090944046080XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33623401.60	320600443094032XXX071XXX430	REGULAR	REGULAR	START	START	1	33623401.60	320600443094032XXX071XXX430	REGULAR	REGULAR	START	START	1
1	FALSE	32784246.80	234880429013083XXXXXX420120	REGULAR	REGULAR	START	START	1	32784246.80	234880429013083XXXXXX420120	REGULAR	REGULAR	START	START	1
1	FALSE	33701606.40	012400927061035XXXXXXXXX351	REGULAR	REGULAR	START	START	1	33701606.40	012400927061035XXXXXXXXX351	REGULAR	REGULAR	START	START	1
1	FALSE	33891339.00	123650177088011XXXXXXXXX471	REGULAR	REGULAR	START	START	1	33891339.00	123650177088011XXXXXXXXX471	REGULAR	REGULAR	START	START	1
1	FALSE	38519699.40	401130677037059056XXXXXXXXX	REGULAR	REGULAR	START	START	1	38519699.40	401130677037059056XXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33026202.60	130510803049023XXXXXXXXX180	REGULAR	REGULAR	START	START	1	33026202.60	130510803049023XXXXXXXXX180	REGULAR	REGULAR	START	START	1
1	FALSE	33477014.60	313030303001071XXX069XXX411	REGULAR	REGULAR	START	START	1	33477014.60	313030303001071XXX069XXX411	REGULAR	REGULAR	START	START	1
1	FALSE	33571914.80	421770552025095018XXXXXX301	REGULAR	REGULAR	START	START	1	33571914.80	421770552025095018XXXXXX301	REGULAR	REGULAR	START	START	1
1	FALSE	71988059.20	204260054076047XXXXXX701XXX	REGULAR	REGULAR	START	START	1	71988059.20	204260054076047XXXXXX701XXX	REGULAR	REGULAR	START	START	1
1	FALSE	34419908.80	320210117067053XXX100XXX271	REGULAR	REGULAR	START	START	1	34419908.80	320210117067053XXX100XXX271	REGULAR	REGULAR	START	START	1
1	FALSE	38467790.80	002700615019005XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	38467790.80	002700615019005XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	32887663.60	413960867094077099XXXXXX151	REGULAR	REGULAR	START	START	1	32887663.60	413960867094077099XXXXXX151	REGULAR	REGULAR	START	START	1
1	FALSE	32676342.00	131470365043029XXXXXXXXX380	REGULAR	REGULAR	START	START	1	32676342.00	131470365043029XXXXXXXXX380	REGULAR	REGULAR	START	START	1
1	FALSE	32885101.00	110840492031017XXXXXXXXX211	REGULAR	REGULAR	START	START	1	32885101.00	110840492031017XXXXXXXXX211	REGULAR	REGULAR	START	START	1
1	FALSE	32793273.40	333330990082065XXX013XXX440	REGULAR	REGULAR	START	START	1	32793273.40	333330990082065XXX013XXX440	REGULAR	REGULAR	START	START	1
1	FALSE	49006659.80	202060240055089XXXXXX654XXX	REGULAR	REGULAR	START	START	1	49006659.80	202060240055089XXXXXX654XXX	REGULAR	REGULAR	START	START	1
1	FALSE	33196937.20	024590741006041XXXXXXXXX101	REGULAR	REGULAR	START	START	1	33196937.20	024590741006041XXXXXXXXX101	REGULAR	REGULAR	START	START	1
1	FALSE	32707544.60	424100336057038084XXXXXX480	REGULAR	REGULAR	START	START	1	32707544.60	424100336057038084XXXXXX480	REGULAR	REGULAR	START	START	1
1	FALSE	37541959.40	101620834010086XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	37541959.40	101620834010086XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	32666779.33	032880084034062XXXXXXXXX141	ELITE	ELITE	START	START	1	32666779.33	032880084034062XXXXXXXXX141	ELITE	ELITE	START	START	1
1	FALSE	34079743.60	310360585085014XXX053XXX370	REGULAR	REGULAR	START	START	1	34079743.60	310360585085014XXX053XXX370	REGULAR	REGULAR	START	START	1
1	FALSE	39229098.60	403480459070026046XXXXXXXXX	REGULAR	REGULAR	START	START	1	39229098.60	403480459070026046XXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33323800.20	220990960022074XXXXXX584310	REGULAR	REGULAR	START	START	1	33323800.20	220990960022074XXXXXX584310	REGULAR	REGULAR	START	START	1
1	FALSE	33245292.20	114740210046098XXXXXXXXX430	REGULAR	REGULAR	START	START	1	33245292.20	114740210046098XXXXXXXXX430	REGULAR	REGULAR	START	START	1
1	FALSE	32847455.00	332250711097050XXX016XXX201	REGULAR	REGULAR	START	START	1	32847455.00	332250711097050XXX016XXX201	REGULAR	REGULAR	START	START	1
1	FALSE	38346592.20	304430896028032XXX047XXXXXX	REGULAR	REGULAR	START	START	1	38346592.20	304430896028032XXX047XXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33154810.20	021920396079080XXXXXXXXX220	REGULAR	REGULAR	START	START	1	33154810.20	021920396079080XXXXXXXXX220	REGULAR	REGULAR	START	START	1
1	FALSE	33135065.20	213180648052056XXXXXX443110	REGULAR	REGULAR	START	START	1	33135065.20	213180648052056XXXXXX443110	REGULAR	REGULAR	START	START	1
1	FALSE	33155630.00	430690147004008065XXXXXX341	REGULAR	REGULAR	START	START	1	33155630.00	430690147004008065XXXXXX341	REGULAR	REGULAR	START	START	1
1	FALSE	32723436.40	133810522064092XXXXXXXXX401	REGULAR	REGULAR	START	START	1	32723436.40	133810522064092XXXXXXXXX401	REGULAR	REGULAR	START	START	1
1	FALSE	34261825.00	411290021016044002XXXXXX170	REGULAR	REGULAR	START	START	1	34261825.00	411290021016044002XXXXXX170	REGULAR	REGULAR	START	START	1
1	FALSE	50760094.40	000060273090068XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	50760094.40	000060273090068XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33235671.00	222540771040020XXXXXX724050	REGULAR	REGULAR	START	START	1	33235671.00	222540771040020XXXXXX724050	REGULAR	REGULAR	START	START	1
1	FALSE	33376735.00	414530483076089014XXXXXX261	REGULAR	REGULAR	START	START	1	33376735.00	414530483076089014XXXXXX261	REGULAR	REGULAR	START	START	1
1	FALSE	32903209.40	132040984028041XXXXXXXXX490	REGULAR	REGULAR	START	START	1	32903209.40	132040984028041XXXXXXXXX490	REGULAR	REGULAR	START	START	1
1	FALSE	38150483.00	003300234004017XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	38150483.00	003300234004017XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33635277.00	220780731052065XXXXXX144141	REGULAR	REGULAR	START	START	1	33635277.00	220780731052065XXXXXX144141	REGULAR	REGULAR	START	START	1
1	FALSE	34423486.00	210180858040005XXXXXX238081	REGULAR	REGULAR	START	START	1	34423486.00	210180858040005XXXXXX238081	REGULAR	REGULAR	START	START	1
1	FALSE	32593440.10	432670357088053052XXXXXX310	ELITE	ELITE	START	START	1	32593440.10	432670357088053052XXXXXX310	ELITE	ELITE	START	START	1
1	FALSE	38175706.00	301410609064077XXX060XXXXXX	REGULAR	REGULAR	START	START	1	38175706.00	301410609064077XXX060XXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33020082.60	023930108016029XXXXXXXXX201	REGULAR	REGULAR	START	START	1	33020082.60	023930108016029XXXXXXXXX201	REGULAR	REGULAR	START	START	1
1	FALSE	32953576.40	213590920022059XXXXXX285291	REGULAR	REGULAR	START	START	1	32953576.40	213590920022059XXXXXX285291	REGULAR	REGULAR	START	START	1
1	FALSE	33158245.00	031100420070011XXXXXXXXX060	REGULAR	REGULAR	START	START	1	33158245.00	031100420070011XXXXXXXXX060	REGULAR	REGULAR	START	START	1
1	FALSE	32688537.00	322370171046083XXX017XXX401	REGULAR	REGULAR	START	START	1	32688537.00	322370171046083XXX017XXX401	REGULAR	REGULAR	START	START	1
1	FALSE	40333444.20	104850672094035XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	40333444.20	104850672094035XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	32851476.80	334220794010095XXX079XXX230	REGULAR	REGULAR	START	START	1	32851476.80	334220794010095XXX079XXX230	REGULAR	REGULAR	START	START	1
1	FALSE	33544726.80	011740297057047XXXXXXXXX461	REGULAR	REGULAR	START	START	1	33544726.80	011740297057047XXXXXXXXX461	REGULAR	REGULAR	START	START	1
1	FALSE	64231653.60	400480044034071033XXXXXXXXX	REGULAR	REGULAR	START	START	1	64231653.60	400480044034071033XXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33380404.60	122970546082023XXXXXXXXX341	REGULAR	REGULAR	START	START	1	33380404.60	122970546082023XXXXXXXXX341	REGULAR	REGULAR	START	START	1
1	FALSE	33357048.60	014080576031086XXXXXXXXX330	REGULAR	REGULAR	START	START	1	33357048.60	014080576031086XXXXXXXXX330	REGULAR	REGULAR	START	START	1
1	FALSE	32705784.20	231590078079038XXXXXX214101	REGULAR	REGULAR	START	START	1	32705784.20	231590078079038XXXXXX214101	REGULAR	REGULAR	START	START	1
1	FALSE	33839139.80	120320327006062XXXXXXXXX440	REGULAR	REGULAR	START	START	1	33839139.80	120320327006062XXXXXXXXX440	REGULAR	REGULAR	START	START	1
1	FALSE	39437884.80	302820827055014XXX064XXXXXX	REGULAR	REGULAR	START	START	1	39437884.80	302820827055014XXX064XXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	32666705.60	424710951067050005XXXXXX390	REGULAR	REGULAR	START	START	1	32666705.60	424710951067050005XXXXXX390	REGULAR	REGULAR	START	START	1
1	FALSE	38334461.20	202190453019098XXXXXX121XXX	REGULAR	REGULAR	START	START	1	38334461.20	202190453019098XXXXXX121XXX	REGULAR	REGULAR	START	START	1
1	FALSE	32886822.80	033450702043074XXXXXXXXX271	REGULAR	REGULAR	START	START	1	32886822.80	033450702043074XXXXXXXXX271	REGULAR	REGULAR	START	START	1
1	FALSE	34107032.00	310960200090026XXX026XXX500	REGULAR	REGULAR	START	START	1	34107032.00	310960200090026XXX026XXX500	REGULAR	REGULAR	START	START	1
1	FALSE	32723291.40	323150390037008XXX007XXX180	REGULAR	REGULAR	START	START	1	32723291.40	323150390037008XXX007XXX180	REGULAR	REGULAR	START	START	1
1	FALSE	37595362.20	100630887085056XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	37595362.20	100630887085056XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	32723699.20	234380138061080XXXXXX355301	REGULAR	REGULAR	START	START	1	32723699.20	234380138061080XXXXXX355301	REGULAR	REGULAR	START	START	1
1	TRUE	32593440.10	432670357088053052XXXXXX310	ELITE	ELITE	START	STANDARD	1	32593440.10	432670357088053052XXXXXX310	ELITE	ELITE	START	STANDARD	2
1	TRUE	32571258.33	434640006040014088XXXXXX291	ELITE	ELITE	START	STANDARD	1	32571258.33	434640006040014088XXXXXX291	ELITE	ELITE	START	STANDARD	2
1	TRUE	32640669.00	333720570057044XXX033XXX261	ELITE	ELITE	START	STANDARD	1	32640669.00	333720570057044XXX033XXX261	ELITE	ELITE	START	STANDARD	2
1	TRUE	32666779.33	032880084034062XXXXXXXXX141	ELITE	ELITE	START	STANDARD	1	32666779.33	032880084034062XXXXXXXXX141	ELITE	ELITE	START	STANDARD	2
1	TRUE	32593440.10	432670357088053052XXXXXX310	ELITE	ELITE	START	START	1	32876120.00	032730609057083XXXXXXXXX460	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32640669.00	333720570057044XXX033XXX261	ELITE	ELITE	START	START	1	33010789.60	331380878052071XXX008XXX211	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32571258.33	434640006040014088XXXXXX291	ELITE	ELITE	START	START	1	39040620.20	403840182037065091XXXXXXXXX	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32593440.10	432670357088053052XXXXXX310	ELITE	ELITE	START	START	1	33118892.80	222420231090083XXXXXX324341	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32593440.10	432670357088053052XXXXXX310	ELITE	ELITE	START	START	1	33214796.40	214170179073077XXXXXX134101	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32666779.33	032880084034062XXXXXXXXX141	ELITE	ELITE	START	START	1	32698043.00	034590189043065XXXXXXXXX290	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32593440.10	432670357088053052XXXXXX310	ELITE	ELITE	START	START	1	32848816.40	233630282064047XXXXXX538410	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32571258.33	434640006040014088XXXXXX291	ELITE	ELITE	START	START	1	32575591.17	431860276090026070XXXXXX431	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32571258.33	434640006040014088XXXXXX291	ELITE	ELITE	START	START	1	32970411.20	132130225001014XXXXXXXXX191	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32571258.33	434640006040014088XXXXXX291	ELITE	ELITE	START	START	1	51723561.00	404080036057047052XXXXXXXXX	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32593440.10	432670357088053052XXXXXX310	ELITE	ELITE	START	START	1	32944097.60	431500171085080053XXXXXX410	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32571258.33	434640006040014088XXXXXX291	ELITE	ELITE	START	START	1	39554795.20	403630462067008046XXXXXXXXX	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32666779.33	032880084034062XXXXXXXXX141	ELITE	ELITE	START	START	1	32723590.00	123750182040086XXXXXXXXX390	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32593440.10	432670357088053052XXXXXX310	ELITE	ELITE	START	START	1	32635921.00	333720509052050XXX069XXX151	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32593440.10	432670357088053052XXXXXX310	ELITE	ELITE	START	START	1	32575201.70	432340120082050071XXXXXX110	ELITE	ELITE	STANDARD	STANDARD	2
1	TRUE	32571258.33	434640006040014088XXXXXX291	ELITE	ELITE	START	START	1	33299576.80	014550279034095XXXXXXXXX161	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32593440.10	432670357088053052XXXXXX310	ELITE	ELITE	START	START	1	32621016.20	231770065079023XXXXXX021360	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32640669.00	333720570057044XXX033XXX261	ELITE	ELITE	START	START	1	39257694.40	303900455085029XXX026XXXXXX	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32571258.33	434640006040014088XXXXXX291	ELITE	ELITE	START	START	1	32572858.60	133090597034008XXXXXXXXX501	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32666779.33	032880084034062XXXXXXXXX141	ELITE	ELITE	START	START	1	32740135.00	124970564013041XXXXXXXXX061	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32593440.10	432670357088053052XXXXXX310	ELITE	ELITE	START	START	1	32803491.40	122250069037026XXXXXXXXX110	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32571258.33	434640006040014088XXXXXX291	ELITE	ELITE	START	START	1	32894711.60	324920306031044XXX031XXX311	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32571258.33	434640006040014088XXXXXX291	ELITE	ELITE	START	START	1	32776292.00	123590237019020XXXXXXXXX261	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32571258.33	434640006040014088XXXXXX291	ELITE	ELITE	START	START	1	46150693.20	104590270067014XXXXXXXXXXXX	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32640669.00	333720570057044XXX033XXX261	ELITE	ELITE	START	START	1	38448634.20	404170834085092063XXXXXXXXX	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32640669.00	333720570057044XXX033XXX261	ELITE	ELITE	START	START	1	43078638.20	303090434073011XXX065XXXXXX	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32571258.33	434640006040014088XXXXXX291	ELITE	ELITE	START	START	1	32568096.20	431380540090008092XXXXXX331	ELITE	ELITE	STANDARD	STANDARD	2
1	TRUE	32593440.10	432670357088053052XXXXXX310	ELITE	ELITE	START	START	1	32571126.80	132790159013041XXXXXXXXX070	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32593440.10	432670357088053052XXXXXX310	ELITE	ELITE	START	START	1	32600921.60	424290543085062026XXXXXX100	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32640669.00	333720570057044XXX033XXX261	ELITE	ELITE	START	START	1	32855231.40	313000627043074XXX003XXX380	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32640669.00	333720570057044XXX033XXX261	ELITE	ELITE	START	START	1	33012620.60	024800401079056XXXXXXXXX241	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32666779.33	032880084034062XXXXXXXXX141	ELITE	ELITE	START	START	1	33192117.60	130030597049053XXXXXXXXX080	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32640669.00	333720570057044XXX033XXX261	ELITE	ELITE	START	START	1	32713226.20	433690030055065035XXXXXX471	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32593440.10	432670357088053052XXXXXX310	ELITE	ELITE	START	START	1	33010101.40	331620602085008XXX026XXX460	REGULAR	REGULAR	STANDARD	STANDARD	2
